,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('la', 'fiebre', 'reumatica')",6,0,3422,1,1.0017502917152858,1.0,1.0017502917152858
1,"('de', 'material', 'dental')",6,0,3422,1,1.0017502917152858,1.0,1.0017502917152858
2,"('lo', 'reumatismo', 'crónico')",6,0,3422,1,1.0017502917152858,1.0,1.0017502917152858
3,"('reumatología', 'clínica')",5,0,3423,1,1.0014585764294048,1.0,1.0014585764294048
4,"('terapéutica', 'antirreumática')",4,0,3424,1,1.0011668611435238,1.0,1.0011668611435238
5,"('de', 'situación', 'clínica')",4,0,3424,1,1.0011668611435238,1.0,1.0011668611435238
6,"('artritis', 'reumática')",4,0,3424,1,1.0011668611435238,1.0,1.0011668611435238
7,"('la', 'artritis', 'reumática')",4,0,3424,1,1.0011668611435238,1.0,1.0011668611435238
8,"('situación', 'clínica', 'difícil')",4,0,3424,1,1.0011668611435238,1.0,1.0011668611435238
9,"('artritis', 'y', 'artrosis')",4,0,3424,1,1.0011668611435238,1.0,1.0011668611435238
10,"('práctica', 'reumatológica')",3,0,3425,1,1.0008751458576428,1.0,1.0008751458576428
11,"('con', 'tratamiento', 'biológico')",3,0,3425,1,1.0008751458576428,1.0,1.0008751458576428
12,"('reumatismo', 'psicógeno')",3,0,3425,1,1.0008751458576428,1.0,1.0008751458576428
13,"('lípido', 'del', 'líquido')",3,0,3425,1,1.0008751458576428,1.0,1.0008751458576428
14,"('la', 'práctica', 'reumatológica')",3,0,3425,1,1.0008751458576428,1.0,1.0008751458576428
15,"('lo', 'enfermo', 'reumático')",3,0,3425,1,1.0008751458576428,1.0,1.0008751458576428
16,"('c.', 'p')",3,0,3425,1,1.0008751458576428,1.0,1.0008751458576428
17,"('juvenil', 'de', 'comienzo')",3,0,3425,1,1.0008751458576428,1.0,1.0008751458576428
18,"('manifestación', 'extraarticular')",3,0,3425,1,1.0008751458576428,1.0,1.0008751458576428
19,"('la', 'terapéutica', 'antirreumática')",3,0,3425,1,1.0008751458576428,1.0,1.0008751458576428
20,metacortandracina,3,0,3425,1,1.0008751458576428,1.0,1.0008751458576428
21,"('lo', 'padecimiento', 'reumático')",3,0,3425,1,1.0008751458576428,1.0,1.0008751458576428
22,"('p.', 'c.', 'p')",3,0,3425,1,1.0008751458576428,1.0,1.0008751458576428
23,"('tratamiento', 'de', 'situación')",3,0,3425,1,1.0008751458576428,1.0,1.0008751458576428
24,"('p.', 'c.')",3,0,3425,1,1.0008751458576428,1.0,1.0008751458576428
25,"('la', 'p.', 'c.')",3,0,3425,1,1.0008751458576428,1.0,1.0008751458576428
26,fiq,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
27,"('reumatismo', 'infeccioso')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
28,"('reumático', 'y', 'articular')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
29,"('reumatoide', 'con', 'prednisolona')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
30,"('terapéutica', 'reumatológica')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
31,"('su', 'potencia', 'antirreumática')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
32,"('fibromyalgia', 'impact')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
33,"('de', 'compuesto', 'antiinflamatorio')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
34,"('fibromyalgia', 'impact', 'questionnaire')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
35,"('compuesto', 'antiinflamatorio')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
36,"('estudio', 'de', 'eritroquinética')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
37,"('adquisición', 'en', 'terapéutica')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
38,"('reumática', 'con', 'prednisona')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
39,"('la', 'delta', '1-dehidrocortisona')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
40,"('joven', 'con', 'artritis')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
41,"('lo', '16', 'alpha')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
42,reumatoädea,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
43,"('eritroquinética', 'en', 'alguna')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
44,"('potencia', 'antirreumática')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
45,"('biológica', 'en', 'enfermedad')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
46,"('articular', 'má', 'común')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
47,"('aspecto', 'clínico', 'novedoso')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
48,dactilitis,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
49,trafuril,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
50,"('calcinosis', 'extensa')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
51,"('reumatismo', 'infantil')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
52,"('inflamación', 'reumatóide')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
53,"('área', 'especializada')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
54,"('reumatología', 'sobre', 'osteoporosis')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
55,regisponser,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
56,"('reumatoide', 'con', 'tratamiento')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
57,"('la', 'inflamación', 'reumática')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
58,"('incrementada', 'la', 'mortalidad')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
59,"('de', 'inicio', 'reciente')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
60,auroterapia,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
61,artiritis,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
62,fibromyalgia,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
63,"('16', 'alpha')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
64,"('aplicación', 'reumatológica')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
65,reumatólogica,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
66,"('reumática', 'familiar')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
67,"('de', 'líquido', 'sinovial')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
68,rumalón,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
69,"('ester', 'trimetilgálico')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
70,"('biológica', 'en', 'espondiloartritis')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
71,trimetilgálico,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
72,"('efecto', 'humoral')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
73,"('alguno', 'proceso', 'reumático')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
74,1-dehidrocortisona,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
75,"('fiebre', 'reumática', 'familiar')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
76,"('investigación', 'en', 'reumatología')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
77,"('delta', '1-dehidrocortisona')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
78,"('proceso', 'articular')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
79,"('artritis', 'reumatoädea')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
80,"('y', 'espondilitis', 'anquilosante')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
81,"('cervical', 'en', 'artritis')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
82,"('lo', 'proceso', 'articular')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
83,"('y', 'enfermedad', 'reumatológica')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
84,"('inflamación', 'reumática')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
