,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('investigación', 'en', 'radiología')",5,0,2057,1,1.0024248302618817,1.0,1.0024248302618817
1,"('el', 'radiólogo', 'invisible')",4,0,2058,1,1.0019398642095054,1.0,1.0019398642095054
2,"('publicación', 'en', 'radiología')",4,0,2058,1,1.0019398642095054,1.0,1.0019398642095054
3,"('radiólogo', 'invisible')",4,0,2058,1,1.0019398642095054,1.0,1.0019398642095054
4,"('científica', 'y', 'publicación')",3,0,2059,1,1.001454898157129,1.0,1.001454898157129
5,"('técnico', 'y', 'ecografía')",3,0,2059,1,1.001454898157129,1.0,1.001454898157129
6,editorialismo,3,0,2059,1,1.001454898157129,1.0,1.001454898157129
7,"('revista', 'radiología')",3,0,2059,1,1.001454898157129,1.0,1.001454898157129
8,"('la', 'revista', 'radiología')",3,0,2059,1,1.001454898157129,1.0,1.001454898157129
9,"('clave', 'y', 'consejo')",3,0,2059,1,1.001454898157129,1.0,1.001454898157129
10,"('moralista', ':', 'solo')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
11,"('programa', 'de', 'radiodiagnóstico')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
12,"('prestación', 'radiológica')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
13,"('editorial', 'en', 'radiología')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
14,"('de', 'prestación', 'radiológica')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
15,"('celedonio', 'calatayud')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
16,"('radiologäa', 'del', 'abdomen')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
17,vendamo,2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
18,"('vascular', 'y', 'tumor')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
19,"('cómo', 'preparar')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
20,"('artículo', 'al', 'inglé')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
21,"('traducción', 'de', 'artículo')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
22,"('autonomía', ',', 'consentimiento')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
23,"('atrapamiento', 'femoroacetabular')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
24,interpreta,2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
25,coqui,2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
26,"('queremo', 'publicar')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
27,"('la', 'radiología', 'renal')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
28,"('reto', 'e', 'incertidumbre')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
29,"('consentimiento', 'y', 'responsabilidad')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
30,"('impresión', 'de', 'imagen')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
31,"('empresa', 'de', 'impresión')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
32,"('cultivo', 'celular', 'mcf-7')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
33,"('renal', 'operatoria')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
34,"('critically', 'appraised', 'topic')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
35,"('intestino', 'del', 'niño')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
36,"('solo', 'radiólogo')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
37,"('carlo', 'coqui')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
38,appraised,2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
39,celedonio,2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
40,"('sección', 'de', 'radiología')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
41,"('imagen', 'urgente')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
42,moralista,2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
43,"('científico', 'ni', 'moralista')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
44,"('appraised', 'topic')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
