,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('de', 'sanidad', 'militar')",7,0,207,1,1.0327102803738315,1.0,1.0327102803738315
1,"('sitio', 'de', 'querétaro')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
2,"('aplicación', 'de', 'sanidad')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
3,"('al', 'periodismo', 'médicomilitar')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
4,ulla,2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
5,"('cuerpo', 'de', 'ejército')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
6,"('alguno', 'informe')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
7,"('escuela', 'de', 'aplicación')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
8,"('alguno', 'informe', 'relativo')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
9,"('batalla', 'de', 'carabobo')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
10,médicomilitar,2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
11,"('periodismo', 'médicomilitar')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
12,"('ejército', 'libertador')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
13,"('relativo', 'al', 'periodismo')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
14,"('informe', 'relativo')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
15,"('del', 'potencial', 'humano')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
16,"('abastecimiento', 'de', 'sangre')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
17,desierto,1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
18,"('premio', '``', 'dr')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
19,"('y', 'tactical', 'emergency')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
20,"('escalón', 'cuerpo')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
21,"('ejército', 'matía')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
22,galo,1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
23,"('investigatión', 'acerca')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
24,"('maestro', 'fernando')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
25,"('1', 'degre')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
26,"('ano', 'fiscal')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
27,zavaleta,1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
28,"('alejandro', 'el', 'grande')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
29,"('hospitalaria', 'militar')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
30,"('del', 'ejército', 'libertador')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
31,"('instrucción', 'del', 'personal')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
32,"('immunidad', 'antitetánica')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
33,"('conservacion', 'y', 'abastecimiento')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
34,"('antitetánica', 'del', 'soldado')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
35,"('potencial', 'humano')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
36,"('escalón', 'sanitario', 'avanzado')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
37,"('laboral', 'en', 'subárea')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
38,"('antituberculoso', '``', 'generalismo')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
39,"('organizacion', 'hospitalaria')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
