,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,enfuvirtida,3,0,4941,1,1.0006067961165048,1.0,1.0006067961165048
1,"('humana', 'en', 'gran')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
2,"('humana', 'y', 'resistencia')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
3,efavirenz-emtricitabina-tenofovir,2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
4,"('cuánto', 'dura')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
5,"('proteasa', 'en', 'paciente')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
6,"('hiperlactatemia', 'sintomática')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
7,"('viremia', 'por', 'vih')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
8,sídico,2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
9,"('ontogenia', 'del', 'sistema')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
10,"('resistencia', 'de', 'candida')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
11,"('característica', 'virológica')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
12,"('disfunción', 'inmunológica')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
13,vih-sefh,2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
14,proviral,2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
15,"('internacional', 'del', 'sida')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
16,"('la', 'terapia', 'antirretrovírica')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
17,"('transmisión', 'de', 'cepa')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
18,"('del', 'grupo', 'vih-sefh')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
19,"('vih', ':', 'papel')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
20,"('lopinavir/ritonavir', 'en', 'monoterapia')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
21,"('adn', 'proviral')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
22,"('terapia', 'antirretroviral', 'altamente')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
23,"('adquirida', 'e', 'insuficiencia')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
24,"('tomando', 'control')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
25,"('historia', 'del', 'sida')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
26,"('antirretroviral', 'altamente')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
27,"('con', 'carga', 'viral')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
28,"('grupo', 'vih-sefh')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
29,"('estudio', 'del', 'anticoagulante')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
