,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('sociedad', 'de', 'genética')",5,0,6354,1,1.000786287152068,1.0,1.000786287152068
1,"('genetica', 'humana')",5,0,6354,1,1.000786287152068,1.0,1.000786287152068
2,"('la', 'genetica', 'humana')",4,0,6355,1,1.0006290297216542,1.0,1.0006290297216542
3,gargolismo,3,0,6356,1,1.0004717722912408,1.0,1.0004717722912408
4,"('la', 'enfermedad', 'periódica')",3,0,6356,1,1.0004717722912408,1.0,1.0004717722912408
5,"('droga', 'y', 'medicamento')",3,0,6356,1,1.0004717722912408,1.0,1.0004717722912408
6,"('hiperlipemia', 'idiopática')",3,0,6356,1,1.0004717722912408,1.0,1.0004717722912408
7,"('deletéreo', 'de', 'alguna')",3,0,6356,1,1.0004717722912408,1.0,1.0004717722912408
8,"('ácido', 'lisérgico')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
9,citar,2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
10,"('hereditario', 'de', 'fiebre')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
11,condrodistrofia,2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
12,microevolucion,2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
13,"('forma', 'abdominal')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
14,"('wolf-hirschhorn', ':', 'simple')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
15,"('reforma', 'genética')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
16,"('caso', 'de', 'hemocromatosis')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
17,"('peritonitis', 'periódica')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
18,"('la', 'genética', 'médica')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
19,"('anual', 'sociedad')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
20,"('metabolismo', 'y', 'enzimopatía')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
21,"('simple', 'omision')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
22,"('de', 'población', 'aborígén')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
23,"('sexual', 'y', 'cariotipo')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
24,"('enfermedad', 'de', 'hurler')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
25,lisérgico,2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
26,meiosis,2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
27,"('conocimiento', 'del', 'genoma')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
28,"('microevolucion', 'en', 'población')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
29,"('reunión', 'anual', 'sociedad')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
30,"('omision', 'al', 'citar')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
31,lipoidosis,2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
32,"('alveolari', 'pulmonum')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
33,"('virus', 'rábicó')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
34,"('genetico', 'y', 'siete')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
35,"('trisomía', 'parcial', 'libre')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
36,"('enfermedad', 'de', 'pfaundler-hurler')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
37,"('sistema', 'microbiano')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
38,"('marcador', 'familiar')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
39,"('literatura', 'a', 'propóslito')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
40,"('norma', 'bioética')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
41,"('alterativa', 'del', 'patrimonio')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
42,beta-oxidación,1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
43,"('d-d.', 'estudio', 'citogenético')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
44,"('tesaurismosis', 'ferruginosa')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
45,"('translocación', '14/21')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
46,"('virus', 'adenoasociado')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
47,"('del', 'análisis', 'cromosómico')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
48,encondromatosis,1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
