,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('nacional', 'de', 'reproducción')",4,0,1616,1,1.002469135802469,1.0,1.002469135802469
1,"('regulación', 'jurídica')",3,0,1617,1,1.0018518518518518,1.0,1.0018518518518518
2,"('oral', 'de', 'emergencia')",3,0,1617,1,1.0018518518518518,1.0,1.0018518518518518
3,"('clonación', 'terapéutica')",3,0,1617,1,1.0018518518518518,1.0,1.0018518518518518
4,"('nuevo', 'art')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
5,"('suprema', 'de', 'justicia')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
6,"('criopreservación', 'de', 'embrión')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
7,"('oportunidad', 'y', 'posibilidad')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
8,"('de', 'manipulación', 'genética')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
9,"('feli', 'catu')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
10,"('intratubaria', 'de', 'gameto')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
11,116/1999,2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
12,"('inseminación', 'terapéutica')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
13,"('delito', 'de', 'manipulación')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
14,"('la', 'sala', 'constitucional')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
15,"('324', 'del', 'código')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
16,"('contracepción', 'oral')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
17,"('35/1988', 'sobre', 'técnica')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
18,"('el', 'gato', 'siamé')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
19,"('del', 'nuevo', 'art')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
20,spallanzani,2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
21,"('cronología', 'de', 'osificación')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
22,"('sala', 'constitucional')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
23,"('en', 'anticoncepción', 'hormonal')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
24,"('clonación', 'de', 'ser')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
25,"('programa', 'de', 'inseminación')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
26,"('siamé', '(', 'feli')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
27,"('folicular', 'múltiple')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
28,art,2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
29,"('genética', 'con', 'fin')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
30,"('gato', 'siamé')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
31,"('fin', 'de', 'clonar')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
32,dolly,2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
33,"('crecimiento', 'folicular', 'múltiple')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
34,catu,2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
35,"('anticoncepción', 'y', 'lactancia')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
36,"('de', 'osificación', 'postnatal')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
37,"('catu', 'l.')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
38,"('constitucional', '116/1999')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
39,"('inductor', 'de', 'crecimiento')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
40,"('efecto', 'del', 'levonorgestrel')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
