,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('microbiología', 'y', 'parasitología')",7,0,5276,1,1.0013250047321598,1.0,1.0013250047321598
1,"('iberoamericana', 'de', 'micología')",3,0,5280,1,1.0005678591709255,1.0,1.0005678591709255
2,"('cultivo', 'de', 'trypanosoma')",3,0,5280,1,1.0005678591709255,1.0,1.0005678591709255
3,"('año', 'de', 'microbiología')",3,0,5280,1,1.0005678591709255,1.0,1.0005678591709255
4,xantano,2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
5,"('científica', 'en', 'microbiología')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
6,"('cruzi', 'en', 'medio')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
7,"('reconocimiento', 'a', 'beatriz')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
8,"('descubrimiento', 'del', 'bacilo')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
9,"('gerardo', 'varela')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
10,hemolĭtico,2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
11,"('gilabert', 'fierro')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
12,"('de', 'nueva', 'cepa')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
13,"('partir', 'de', 'xanthomona')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
14,"('a', 'beatriz', 'gilabert')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
15,"('de', 'microbiología', 'sem')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
16,"('microbiologia', 'oral')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
17,"('laboratorio', 'de', 'sanidad')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
18,beatriz,2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
19,"('microbiología', 'sem')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
20,"('historia', 'protozoológica')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
21,"('de', 'revista', 'iberoamericana')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
22,"('cultivo', 'de', 'epimastigote')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
23,protozoológica,2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
24,"('xantano', 'a', 'partir')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
